timestamp,white_version,black_version,opening_id,result,termination,plies,moves_uci
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,21,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,35,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,27,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,23,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,33,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,19,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,47,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,55,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,23,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,11,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,45,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,19,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,17,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,27,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,9,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,11,
2026-09-01T09:21:44+00:00,v1-alphabeta,greedy_capture,startpos,1-0,checkmate,37,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,54,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,20,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,12,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,12,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,22,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,46,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,50,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,40,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,30,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,26,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,30,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,26,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,14,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,30,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,46,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,24,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,40,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,42,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,40,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,18,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,42,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,32,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,30,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,42,
2026-09-01T09:21:44+00:00,greedy_capture,v1-alphabeta,startpos,0-1,checkmate,46,
