fen,result
"r1bq1rk1/pppp1pp1/1b2pn2/1N5p/1nPP4/5N2/PP2PPPP/RQB1KB1R w KQ - 1 9",1.0
"r1bq1rk1/pp1p1pp1/1bn1pn2/1Np4p/2PP4/P4N2/1P1BPPPP/RQ2KB1R w KQ - 1 11",1.0
"r1bq1rk1/pp3pp1/2n1pn2/b1pp3p/2PP4/P1N1BN2/1P2PPPP/RQ2KB1R w KQ - 0 13",1.0
"r4rk1/pp3pp1/4b3/3np2p/8/PNP5/4PPPP/R3KB1R w KQ - 0 21",1.0
"r4rk1/pp4p1/3np3/4p2p/P7/8/4PPPP/2R1KB1R w K - 1 25",1.0
"5rk1/pp4p1/3np3/P3p2p/5r1P/8/4PPP1/2R1KB1R w K - 1 27",1.0
"6k1/pp4p1/4p3/P6p/1r3P1P/6P1/r3P1B1/4K2R w - - 1 35",1.0
"6k1/pp4p1/4p3/5r1p/1r3P1P/6P1/4PKB1/3R4 w - - 2 37",1.0
"3R4/pp4pk/4pr2/7p/1r3P1P/6PB/4PK2/8 w - - 6 39",1.0
"4R3/1p4pk/1r2pr2/p6p/5P1P/4P1PB/5K2/8 w - - 0 41",1.0
"4R3/6pk/4B1r1/pp4Pp/1r3P1P/4PK2/8/8 w - - 0 49",1.0
"6k1/6p1/4R1B1/1p4Pp/p4P1P/4P3/5K2/8 w - - 1 53",1.0
"r1bq1rk1/pppp1p1p/3bp3/4n2R/2P3n1/2N2N2/PP1PPPP1/R1BQKB2 w Q - 3 9",0.0
"r1bq1rk1/pppp3p/3bp3/4np1R/2P5/2N5/PPQPPPP1/R1B1KB2 w Q - 0 11",0.0
"r1bq1rk1/pp1p3p/2pbp3/5p1R/2PP2n1/1PN5/P1Q1PPP1/R1B1KB2 w Q - 1 13",0.0
"r1b1qrk1/ppbp3p/2p1p3/2P2pBR/3P2n1/1PN5/P1Q1PPP1/R3KB2 w Q - 3 15",0.0
"r1b1qrk1/1pb4p/2p1p3/p1Pp1pB1/P2P2n1/1PN4R/2Q1PPP1/R3KB2 w Q - 0 17",0.0
"r3qrk1/1pb4p/2p1b3/p1PpppB1/P2P2n1/1PN3PR/3QPP2/R3KB2 w Q - 2 19",0.0
"r4rk1/1pb2q1p/2p1b3/p1Pp1pB1/P2Pp1n1/1PN3PR/3QPPB1/R4K2 w - - 2 21",0.0
"r4rk1/1p5p/2p1bq2/p1Pp1p2/P2PpQn1/1PN3PR/4PPB1/R4K2 w - - 1 23",0.0
"r5k1/1p2qr1p/2p1b3/p1Pp1p2/P2PpQn1/1PN1P1PR/5PB1/R5K1 w - - 3 25",0.0
"r5k1/1p2qr1p/2p1b3/p1Pp1p2/P2P1Q2/1Pn1PBPR/8/R5K1 w - - 0 29",0.0
"r5k1/1p4rp/2p5/p1Pb1p2/P2Pp3/1P2P1P1/5R2/1R4K1 w - - 2 35",0.0
"3r2k1/1p4rp/2p1b3/p1P2p2/P2Pp3/1P2P1P1/1R4R1/6K1 w - - 6 37",0.0
"3r2k1/1p4rp/2p1b3/p1P2p2/P2Pp3/1P2P1P1/5KR1/1R6 w - - 10 39",0.0
"3r2k1/1p4rp/2p4R/2Pb1p2/PR1Pp3/4P1P1/5K2/8 w - - 3 43",0.0
"6k1/1p1r2rp/2p1b3/P1P2p1R/1R1Pp3/4P1P1/5K2/8 w - - 3 45",0.0
"2r3k1/6rp/R1p4R/2Pb1p2/3Pp3/4P1P1/5K2/8 w - - 3 49",0.0
"r5k1/6rp/1Rp2R2/2Pb1p2/3Pp3/4P1P1/5K2/8 w - - 7 51",0.0
"r7/6kp/2p2R2/2Pb1pr1/3Pp3/4P1P1/1R4K1/8 w - - 11 53",0.0
"6k1/7p/2p2R2/2Pb1pr1/3Pp3/r3P1P1/1R4K1/8 w - - 15 55",0.0
"5k2/8/2R5/2PP4/4p2p/4r3/7r/5K2 w - - 0 69",0.0
"2R5/6k1/3P4/2P5/4p2p/4r3/3r4/5K2 w - - 1 71",0.0
"8/7R/3P1k2/2P5/4p2p/2r5/3r4/5K2 w - - 5 73",0.0
"8/7R/3P1k2/2r5/4p2p/8/r7/3K4 w - - 0 75",0.0
"8/3P3R/5k2/3r4/7p/4p3/r7/2K5 w - - 0 77",0.0
"8/3P2k1/4R3/3r4/7p/8/r3p3/2K5 w - - 0 79",0.0
"8/3r4/7k/1r6/7p/8/6R1/2K5 w - - 2 83",0.0
"8/8/4K2k/6r1/1r6/7p/3R4/8 w - - 6 91",0.0
"4r3/1K6/6rk/8/8/7p/3R4/8 w - - 14 95",0.0
"3r4/1K6/7k/8/8/6rp/7R/8 w - - 18 97",0.0
"8/8/2K4k/7r/8/6rp/7R/8 w - - 22 99",0.0
"8/8/3K3k/7r/8/8/6rp/7R w - - 0 101",0.0
"2K5/8/6rk/8/8/8/3r4/8 w - - 2 105",0.0
"r1bqkb1r/pp1ppp2/2n2p2/7p/3Q1B2/5N2/PPP1PPPP/R3KB1R w KQkq - 0 9",0.0
"r1b1kb1r/pp1ppp2/5p2/q6p/1n2QB2/5N2/PPP1PPPP/R3KB1R w KQkq - 4 11",0.0
"r1b1kb1r/pp1p1p2/5p2/2q1p2p/1nP1Q3/5N2/PP1BPPPP/R3KB1R w KQkq - 1 13",0.0
"r1b1kb1r/pp1p1p2/2nq1p2/4p2p/1PP1Q3/P4N2/3BPPPP/R3KB1R w KQkq - 1 15",0.0
"r1b1kb1r/pp1pnp2/4qp2/1PP1p2p/4Q3/P4N2/3BPPPP/R3KB1R w KQkq - 1 17",0.0
"r1b1k3/pp1p1p2/4qp1r/1PP1p2p/2Q2n1P/P4N2/4PPP1/3RKB1R w Kq - 2 21",0.0
"r1b1k3/pp1p1p2/4qpr1/1PPnp2p/7P/P1Q2NP1/4PP2/3RKB1R w Kq - 1 23",0.0
"r1b1k3/1p1pnp2/4qpr1/pPP1p2p/7P/P1Q2NP1/4PP2/3RKB1R w Kq a6 0 25",0.0
"r4k2/3Bnp2/b1P2pr1/4p2p/p6P/P3QNP1/2q1PP2/3RK2R w K - 3 31",0.0
"r4k2/3Bnp2/b4pr1/4p2p/p1q4P/P3QNP1/4PP2/3R1RK1 w - - 2 33",0.0
"r4k2/3B1p2/b4pr1/4p2p/p1q2n1P/P2R1NP1/3QPP2/5RK1 w - - 6 35",0.0
"r4k2/8/b4pp1/7p/p4p1P/P2P1NP1/5P2/5RK1 w - - 0 39",0.0
"3r4/5k2/b4pp1/7p/p2N1P1P/P2P4/5P2/5RK1 w - - 1 41",0.0
"8/5k2/3r1pp1/1b5p/pN3P1P/P2P4/5P2/5RK1 w - - 5 43",0.0
"8/3r1k2/5p2/1b3p1p/pN5P/P2P4/5P2/2R3K1 w - - 0 45",0.0
"6k1/R7/5p2/5p1p/1N2b2r/P3K3/5P2/8 w - - 2 53",0.0
"6k1/R7/5p2/5p1p/PN1Kb3/5r2/5P2/8 w - - 3 55",0.0
"6k1/R7/P4p2/5p2/1N1Kb2p/8/5r2/8 w - - 0 57",0.0
"6k1/2R5/P4p2/5p2/3Kb3/3N3p/3r4/8 w - - 2 59",0.0
"8/2R5/P4pk1/5p2/3Kb3/3N3p/3r4/8 w - - 6 61",0.0
"8/P1R5/5pk1/5p2/2K1b3/7p/3r4/8 w - - 2 63",0.0
"8/P7/5pk1/5p2/2K1R3/8/3r4/7q w - - 0 65",0.0
"8/8/5pk1/8/2K1p3/8/3r4/8 w - - 0 67",0.0
"8/8/6k1/5p2/8/2K1p3/3r4/8 w - - 0 69",0.0
"8/8/6k1/5p2/1K6/8/3r4/4q3 w - - 0 71",0.0
"8/8/6k1/8/1K6/5p2/3r4/4q3 w - - 0 73",0.0
"r2qkb1r/p1ppppp1/bpn5/7p/3P2n1/2N2NPB/PPP1PP1P/R1BQ1RK1 w kq - 1 7",1.0
"r2qk3/p1pppp2/b1n3pr/1p1N3p/2PP2n1/1P3NPB/P3PP1P/R2Q1RK1 w q - 0 11",1.0
"r2qk2r/p1p1pp2/b1np2p1/1p1N3p/2PP1Qn1/1P3NPB/P3PP1P/R4RK1 w q - 0 13",1.0
"r2qk2r/p1p1pp2/2np2pn/1b1N2Np/3P1Q2/1P4PB/P3PP1P/R4RK1 w q - 0 15",1.0
"rq2k2r/p1p1pp2/2np2p1/1b1N1nNp/3P1Q2/1P4PB/P3PP1P/2R1R1K1 w q - 4 17",1.0
"rq1k3r/p1p1pQ2/2np2p1/1b1N2Np/3nP3/1P4PB/P4P1P/2R1R1K1 w - - 1 19",1.0
"rq5Q/p1pk4/2npp1p1/1b1N2Np/3nP3/1P4PB/P4P1P/2R1R1K1 w - - 1 21",1.0
"rq1k4/p1p3Q1/2nppNp1/1b4Np/3nP3/1P4PB/P4P1P/2R1R1K1 w - - 5 23",1.0
"r1b1kb1r/pp1ppppp/2n2n2/q1p5/2P1N3/PP3N2/3PPPPP/R1BQKB1R w KQkq - 1 7",1.0
"r1b1kb1r/pp1p1p1p/5p2/q3p3/2Pp4/PP6/1BQPPPPP/R3KB1R w KQkq - 0 11",1.0
"r1b1k2r/pp1p1p1p/1q1b1p2/4p3/2Pp4/PP5Q/1B1PPPPP/R3KB1R w KQkq - 4 13",1.0
"r1b1k2r/1p1p1p1p/3b1p2/pPq1p3/2Pp4/P6Q/1B1PPPPP/R3KB1R w KQkq - 1 15",1.0
"r1b1k2r/1p1p1p1p/3b1p2/pP2q3/2Ppp2Q/P7/1B1PPPPP/2R1KB1R w Kkq - 2 17",1.0
"r1b1k2r/1p1p1p1p/8/pPb1qp2/P1Ppp1Q1/8/1B1PPPPP/2R1KB1R w Kkq - 0 19",1.0
"r1b1k2r/1p1p1p1p/8/pP6/PbPPp1p1/8/1B1P1PPP/2R1KB1R w Kkq - 1 23",1.0
"r1b2rk1/1p1p1p2/8/pP1P4/PbP1p2p/7P/1B1PBP2/2R1K2R w K - 0 27",1.0
"r1b2r2/1p1p4/6k1/pPPP4/Pb2pp1R/7P/1B1PBP2/2R1K3 w - - 0 31",1.0
"r4r2/1p6/3p2k1/pPbPBb2/P3R3/5p1P/3P1P2/2R1KB2 w - - 2 35",1.0
"2B5/8/1p6/pP1P4/Pb1pk3/7P/5P2/3K4 w - - 0 45",1.0
"8/1B6/1p1b4/pP1P4/P2p3P/5k2/5P2/3K4 w - - 1 47",1.0
"8/1B6/1p1b3P/pP1P4/P2p4/4k3/8/3K4 w - - 1 49",1.0
"8/1B5P/1p1P1b2/pP6/P2p4/4k3/8/3K4 w - - 1 51",1.0
"7b/1B1P4/1p6/pP6/P7/3pk3/8/3K4 w - - 0 53",1.0
"8/1B6/1Q6/pP6/P4k2/2bp4/8/3K4 w - - 1 55",1.0
