fen,result
"3r3k/7p/2P1pb2/p2p1p2/Pp3P1q/1B2P3/4Q2P/6RK w - - 0 43",0.0
"r6k/2P4p/4pb2/pQ1p1p2/Pp3P2/1B2P3/5q1P/6RK w - - 1 45",0.0
"r1bqkb1r/pp1pppp1/2p5/2nn3p/2B5/4PN2/PPPPQPPP/RNB2RK1 w kq - 0 7",0.5
"r1bqkb1r/p2pppp1/2p5/1pn4p/2B5/2P1PN2/PPP1QPPP/R1B2RK1 w kq - 0 9",0.5
"r1b1kb1r/p1qpppp1/2p5/1p5p/8/1PP1PN2/1PP1QPPP/R1B2RK1 w kq - 1 11",0.5
"r1b1kb1r/2qpppp1/2p5/pp4N1/4P2p/1PP5/1PP1QPPP/R1B2RK1 w kq - 0 13",0.5
"r1b1kb1r/2qpp3/2p2p2/pp4p1/4P2p/1PP2Q1N/1PP2PPP/R1B2RK1 w kq - 0 15",0.5
"r1b1kb1r/3pp3/2pq1p2/pp4p1/3BP2p/1PP2Q1N/1PP2PPP/R4RK1 w kq - 4 17",0.5
"r3kb1r/3p4/b1pq1p2/Rp2p1p1/1P1BP2p/2P2Q1N/1PP2PPP/5RK1 w kq - 0 19",0.5
"r3kb1r/3p4/b7/1Rp1p1B1/1Pq1P3/2P5/1PP2PQP/R5K1 w kq - 1 25",0.5
"1rbqkb1r/1ppppp2/p1n2np1/7p/NP5P/P4N2/2PPPPP1/R1BQKB1R w KQk - 0 7",0.5
"1r1qk2r/2p1ppb1/p1ppbnp1/7p/NP1B3P/P7/2PPPPP1/R2QKB1R w KQk - 2 11",0.5
"1r1q1rk1/2p1pp2/p1ppbnpb/7p/NPPB3P/P7/3PPPP1/2RQKB1R w K - 1 13",0.5
"1r1q1rk1/2p1pp2/p1pp2pb/5b1p/NPPBn2P/P3P1P1/3P1P2/2RQKB1R w K - 1 15",0.5
"1r1q1rk1/2p2p2/p1pp2pb/4p2p/NPPBn2P/P3P1PR/3P1P2/2RQK3 w - - 0 17",0.5
"3r2k1/r1p2p2/p1pp1qpb/2P1p2p/NP2P2P/P3P1PR/3P4/2RQK3 w - - 1 21",0.5
"6k1/r1p2p2/2p3pb/4p2p/1q2P2P/2NrP1P1/2RP1K2/3Q3R w - - 2 27",0.5
"r5k1/2p2p2/2pq2pb/4p2p/4P2P/2NrP1P1/1R1P1K2/3QR3 w - - 6 29",0.5
"3r2k1/2p2p2/2pq2pb/4p2p/4P2P/2N1PQP1/1R1r4/4R1K1 w - - 0 31",0.5
"3r2k1/2p2p2/2p3pb/4p2p/4P2P/2NqPQP1/4R3/6K1 w - - 1 33",0.5
"6k1/2pr1p2/2p3pb/4p2p/4P2P/3qPQP1/N4R2/6K1 w - - 5 35",0.5
"6k1/2pr1p2/2p3pb/4p2p/4P2P/3qPQP1/N4R2/6K1 w - - 9 37",0.5
"6k1/2pr1p2/2p3pb/4p2p/4P2P/3qPQP1/N4R2/6K1 w - - 13 39",0.5
"3r2k1/2p2p2/2p3p1/4p2p/1q2P2P/4Q1P1/R6K/8 w - - 2 43",0.5
"3r2k1/2p2p2/2p3p1/4p2p/1q2P2P/4Q1P1/R6K/8 w - - 6 45",0.5
"6k1/2p5/2p2pp1/R3p2p/4P2P/6PK/3r4/8 w - - 0 49",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 4 51",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 8 53",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 12 55",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 16 57",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 20 59",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 24 61",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 28 63",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 32 65",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 36 67",0.5
"6k1/R1pr4/2p2pp1/4p2p/4P2P/6PK/8/8 w - - 40 69",0.5
"R7/2p2k2/2pr1pp1/4p2p/4P2P/6PK/8/8 w - - 44 71",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 48 73",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 52 75",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 56 77",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 60 79",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 64 81",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 68 83",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 72 85",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 76 87",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 80 89",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 84 91",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 88 93",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 92 95",0.5
"8/2p2k2/R1pr1pp1/4p2p/4P2P/6PK/8/8 w - - 96 97",0.5
"r1bqk2r/1ppppp1p/p4npb/8/1nP5/2N2N2/PP1PPPPP/RQB1KB1R w KQkq - 4 7",0.0
"r1bq1rk1/1ppppp1p/p1n2npb/8/2P4P/P1N2N2/1P1PPPP1/RQB1KB1R w KQ - 1 9",0.0
"r1bq1rk1/1pp1pp1p/p1n3pb/3n2N1/7P/P1N5/1P1PPPP1/RQB1KB1R w KQ - 0 11",0.0
"r1br2k1/1pp1pp1p/p5p1/6N1/2n2P1P/P1P5/1P2P1P1/R3KB1R w KQ - 1 17",0.0
"r2r2k1/1pp1pp1p/p5p1/5bN1/5P1P/PPP1n3/4P1P1/2R1KB1R w K - 3 19",0.0
"r2r2k1/2p1pp1p/p5p1/1p3bN1/5P1P/PPP5/4P1P1/2R2K1R w - - 0 21",0.0
"r5k1/2p1pp1p/p5p1/1p4N1/4PPbP/PPP5/3r2P1/2R3KR w - - 3 23",0.0
"r5k1/4pp1p/p1p3p1/1p2P1N1/1P3PbP/P1P5/1r4P1/2R3KR w - - 0 25",0.0
"r5k1/4pp1p/p5p1/1p2P1N1/1P3PbP/P7/r5P1/2R3KR w - - 0 27",0.0
"2r3k1/4pp1p/p5p1/1p2PbN1/1P3P1P/P5R1/r5P1/6KR w - - 4 29",0.0
"2r3k1/4pp1p/p5p1/1p2PbN1/1P3P1P/P5R1/r5P1/6KR w - - 8 31",0.0
"6k1/4pp2/p5pp/1p2Pb2/1Pr2P1P/PR3N2/r5P1/6KR w - - 2 33",0.0
"6k1/4pp2/p6p/1p2Pb1p/1P3r2/P1R2N2/6P1/7K w - - 0 37",0.0
"6k1/5p2/R3p2p/1p2P2p/1P1N4/P2b4/6PK/2r5 w - - 2 41",0.0
"3R4/5p1k/4p2p/1p2P2p/1P1N4/P1rb4/6PK/8 w - - 6 43",0.0
"8/7k/3N1p1p/P3p2p/P7/3b4/6PK/8 w - - 0 49",0.0
"8/7k/3N3p/P3p2p/P4p2/3b4/5KP1/8 w - - 0 51",0.0
"4N3/8/7p/P3k2K/P7/3bp3/8/8 w - - 2 57",0.0
"8/8/P4k1p/7K/P7/3b4/4p3/8 w - - 0 59",0.0
"q7/8/5k1p/5b2/8/8/5K2/8 w - - 0 65",0.0
"q7/8/5k2/5b2/7p/8/5K2/8 w - - 0 67",0.0
"q7/8/5k2/5b2/8/8/3K3p/8 w - - 0 69",0.0
"8/8/5k2/5b2/8/4K3/6q1/7q w - - 0 71",0.0
"8/8/5k2/2K2b2/q7/8/6q1/8 w - - 4 73",0.0
"r1bqkb1r/ppp1ppp1/2n2n2/3p4/8/3BPNPp/PPPP1P1P/RNBQ1RK1 w kq - 1 7",0.0
"r2qkb1r/1pp1ppp1/2n2n2/p2p4/P5b1/2NBPNPp/1PPP1P1P/R1BQ1RK1 w kq - 1 9",0.0
"r1kq1b1r/1pp1ppp1/2n2n2/p2p4/P5b1/BPNBPNPp/2PP1P1P/R2Q1RK1 w - - 3 11",0.0
"r1kq1b1r/1pp1ppp1/8/p2p4/P2P4/BP1B1bPp/2PQ1P1P/R4RK1 w - - 0 15",0.0
"r1k1qb1r/1pp1ppp1/8/p2p4/P2P1Q2/BP1B2Pp/2P2PbP/R3R1K1 w - - 4 17",0.0
"r1kr4/1p3p2/2p1pp2/p7/P1PP4/3B2Pp/5PbP/1R1R2K1 w - - 2 25",0.0
"r1kr4/1p3p2/2p1p3/p4p2/P1PP4/5bPp/2BR1P1P/1R4K1 w - - 0 27",0.0
"r1k5/1p6/2p2p2/p1Prpp2/P2P4/6Pp/3R1P1P/2R3K1 w - - 0 31",0.0
"r1k5/1p6/2p2p2/p1Pr4/P1RPppP1/7p/3R1P1P/6K1 w - - 0 33",0.0
"6r1/1p1k4/2p2p2/p1P5/P2PRpr1/2R4p/5P1P/7K w - - 4 37",0.0
"7r/1p1k4/2p2p2/p1P5/P2P1p2/2R2P1p/6rP/4R2K w - - 1 39",0.0
"2kr4/1p6/2p2p2/p1P5/r2P1R2/5P1p/7P/4R2K w - - 3 43",0.0
"2kr4/1p6/2p2p2/2P5/p2r4/5P1R/7P/4R2K w - - 0 45",0.0
"2kr4/1p6/2p2R2/2P5/3r4/5P2/p6P/4R2K w - - 0 47",0.0
"5R2/1p1k4/2p5/2P5/5P2/5K2/3r3P/q7 w - - 2 53",0.0
"r1bqk2r/pp1pppbp/2n3p1/2p5/2P1Q3/5N2/PP1PPPPP/R1B1KB1R w KQkq - 1 7",0.0
"r1b2rk1/pp1pppbp/2n3p1/q1p5/2P1Q1P1/5N1B/PP1PPP1P/R1B1K2R w KQ - 3 9",0.0
"r1b2rk1/pp2ppbp/2np2p1/2p5/PqP1Q1P1/5N1B/1P1PPP1P/R1B2RK1 w - - 1 11",0.0
"r4rk1/pp2ppbp/3pb1p1/2p1n3/PqP1Q1P1/3P1N1B/RP2PP1P/2B2RK1 w - - 1 13",0.0
"r4rk1/pp2ppbp/2bp2p1/P1p1n1N1/1qP1Q1P1/3P3B/RP2PP1P/2B2RK1 w - - 1 15",0.0
"r4rk1/pp2pp1p/3p1bp1/P1p1n3/1qP1Q1P1/R2P3B/1P2PP1P/2B2RK1 w - - 3 19",0.0
"1r3rk1/pp2ppbp/3p2p1/P1p1n1P1/1qP1Q3/R2P4/1P2PPBP/2B2RK1 w - - 3 21",0.0
"1r3rk1/4ppbp/1p1p2p1/2p1n1P1/1qP1Q3/RP1P4/4PPBP/2B2RK1 w - - 0 23",0.0
"1r3rk1/4Qp1p/1p1p2p1/2p3P1/1qP2P2/RP1P4/4PbBP/2B4K w - - 0 27",0.0
"1r1r2k1/5p1p/1p1Q2p1/2p3P1/2P2P2/qP1P4/4PK1P/5B2 w - - 1 31",0.0
"1r2r1k1/5p1p/1p4p1/2p1Q1P1/2P2P2/1q1P4/4P2P/5BK1 w - - 2 33",0.0
"4r1k1/2Q2p1p/1p4p1/2p3P1/2P1PP2/1q1P4/r6P/5BK1 w - - 1 35",0.0
"4r1k1/5p1p/1p1q2p1/2p2PP1/2P1P3/3P4/5r1P/2Q2B1K w - - 7 39",0.0
"4r1k1/5p1p/1p3Pp1/2p3P1/2P1P3/3q4/3r2BP/2Q4K w - - 1 41",0.0
"6k1/5p1p/1p3Pp1/2p1r1P1/2P5/3q4/6BP/3r2QK w - - 0 43",0.0
"6k1/5p1p/1p3Pp1/2p1r1P1/2P4P/6q1/6B1/6K1 w - - 1 45",0.0
"r2qkb1r/1bppppp1/1pn2n2/p6p/7P/BPN2NP1/P1PPPP2/R2QKB1R w KQkq - 1 7",1.0
"r2qkb1r/2pppp2/bpn2np1/p6p/7P/BPN2NPB/P1PPPP2/R2QK1R1 w Qkq - 0 9",1.0
"r2qk2r/2ppppb1/bpn3p1/p6p/6nP/BPN2NP1/P1PPPPB1/R2QK2R w Qkq - 4 11",1.0
"4k2r/r1pqpp2/bpp3p1/p5Np/3P3P/BPN3P1/P1P1PK2/R2Q4 w k - 1 17",1.0
"4k2r/r1pqpp2/bpp3p1/p5Np/3P3P/BPN3P1/P1P1P2K/R2Q4 w k - 5 19",1.0
"4k2r/r1p1p3/bpp2pp1/p6p/3P2qP/BPN2NP1/P1P1P2K/R4Q2 w k - 2 21",1.0
"r3k2r/2p5/bpp1ppp1/p6p/3P2qP/BPN2NP1/P1P1PQ1K/5R2 w k - 2 23",1.0
"r6r/2pk4/bpp1ppp1/p4q1p/3PN2P/BP2QNP1/P1P1P2K/5R2 w - - 6 25",1.0
"7r/k7/1pQ2Np1/p4p1p/3P3P/1P4P1/P1PNb2K/8 w - - 0 33",1.0
"1r6/k7/1p4Q1/p2N1p1p/3P2bP/1P4P1/P1PN3K/8 w - - 1 35",1.0
"4Q3/k7/1r6/Np5p/3P1N1P/1P4P1/P1P4K/3b4 w - - 3 39",1.0
"8/k7/2Q5/7p/1p1P1N1P/1P4P1/P1P4K/3b4 w - - 0 41",1.0
"8/8/k7/7p/1Q1P1N1P/1P3bP1/P1P4K/8 w - - 1 43",1.0
"8/k7/8/7b/1QPP3P/1P4P1/P6K/8 w - - 0 45",1.0
"8/k7/8/7b/1QPP3P/1P4P1/P6K/8 w - - 4 47",1.0
"8/1k6/8/7Q/2PP3P/1P4P1/P6K/8 w - - 1 49",1.0
"8/1k6/8/4Q3/P1PP3P/1P4P1/7K/8 w - - 3 51",1.0
"8/1k6/8/3PQ3/P1P4P/1P4P1/6K1/8 w - - 1 53",1.0
"8/1k6/3P4/4Q3/PPP4P/6P1/6K1/8 w - - 1 55",1.0
"3Q4/k7/8/4Q3/PPP4P/6P1/6K1/8 w - - 1 57",1.0
"r1b1kb1r/p2ppppp/n1p2n2/8/1q3B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 2 7",1.0
"r1b1kb1r/p2ppppp/2p5/2n5/4q3/2B2N2/PPPQPPPP/R3KB1R w KQkq - 3 11",1.0
"2b1kb1r/p2ppppp/2p5/2n1B3/1r2q3/5N2/PPPQPPPP/2KR1B1R w k - 7 13",1.0
"2b1kb1r/p2pppp1/2p5/1r2B2p/n7/P2P1N2/1PP2PPP/2KR1B1R w k - 1 17",1.0
"2b1kb1r/p2pppp1/1rp5/4B2p/n1P5/P2P4/1P1N1PPP/2KR1B1R w k - 3 19",1.0
"2b1kb1r/p3ppp1/1rpp4/2n1B2p/2P5/PP1P4/3NBPPP/2KR3R w k - 1 21",1.0
"2b1kb1r/p3ppp1/1rp5/4p2p/1PP5/P2B4/3N1PPP/2KR3R w k - 0 23",1.0
"2b1k2r/p3pp2/2p3pb/4R2p/1PP5/r2B4/3N1PPP/2KR4 w k - 0 27",1.0
"2b1k2r/p3pp2/r1p3pb/4R2p/1PP1B3/8/2KN1PPP/3R4 w k - 4 29",1.0
"7r/p1bkpp2/b1p3p1/7p/1PP1B3/6P1/3N1P1P/2KR4 w - - 1 33",1.0
"2k4r/p1b1p3/b1p3p1/5p1p/1PP4P/6P1/2BN1P2/2KR4 w - - 2 35",1.0
"2k4r/pbb5/2p3p1/4pp1p/BPP4P/6P1/3N1P2/2K1R3 w - - 0 37",1.0
"2kr4/pbb5/2p3p1/2P1p2p/1P3p1P/1B4P1/3N1P2/2K1R3 w - - 0 39",1.0
"2k5/1bb5/2p5/p1P1p2B/1r5P/6P1/3N4/2K1R3 w - - 0 43",1.0
"2k5/1bb5/2p5/2P1p2B/p3N2P/6P1/8/2K5 w - - 0 45",1.0
"2k5/2b5/2p5/2P1p2B/p6P/2Nb2P1/1K6/8 w - - 4 47",1.0
"8/3k4/2p5/2P1p2P/8/2NbbBP1/1K6/8 w - - 3 51",1.0
"8/2k5/2p5/2P1pB1P/2b5/2N1b1P1/1K6/8 w - - 7 53",1.0
"8/2k1b3/2p4P/4pB2/2b3P1/2N5/1K6/8 w - - 1 55",1.0
"8/2k3bP/2p5/4pBP1/2b5/2N5/1K6/8 w - - 1 57",1.0
"8/6bP/1kp5/3bpBP1/4N3/2K5/8/8 w - - 5 59",1.0
"8/6bP/1k6/2p2BP1/2b1N3/4K3/8/8 w - - 0 63",1.0
"8/6bP/1k4P1/3b1B2/2p1NK2/8/8/8 w - - 0 65",1.0
"8/7P/1k4P1/3b1B2/2pbN3/8/4K3/8 w - - 4 67",1.0
"8/2k4P/2b3P1/5B2/2pb4/2N5/3K4/8 w - - 8 69",1.0
"8/3b3P/3k2P1/3N4/2pbB3/8/3K4/8 w - - 12 71",1.0
"8/7P/3kb1P1/4b3/2p1B3/8/3K4/3N4 w - - 16 73",1.0
"8/7P/4b1P1/2k5/2pbB3/2N5/2K5/8 w - - 20 75",1.0
"8/7P/4b1P1/4b3/1kp1B3/8/3KN3/8 w - - 24 77",1.0
"8/7P/6P1/4b3/1kb1B3/2p5/4N3/3K4 w - - 2 79",1.0
"8/7P/6P1/4b3/1kb1B3/2p5/8/2N1K3 w - - 6 81",1.0
"8/7P/6P1/2k1b3/4B3/1bp5/4NK2/8 w - - 10 83",1.0
"7Q/8/6P1/4N3/4k3/1bp5/5K2/8 w - - 1 87",1.0
"8/8/6P1/8/3Q4/1bp2N2/2k2K2/8 w - - 5 89",1.0
"8/6P1/8/8/3Q4/1bp2N2/2k5/6K1 w - - 1 91",1.0
"8/6P1/4b3/8/3QN3/2p5/1k6/6K1 w - - 5 93",1.0
"8/6P1/4Q3/8/4N3/8/2p5/2k3K1 w - - 0 95",1.0
"6Q1/8/8/8/4N1Q1/8/2p5/2k3K1 w - - 3 97",1.0
"1Q6/8/8/6Q1/4N3/8/2p5/k5K1 w - - 7 99",1.0
"r1b1kb1r/1pqpppp1/p1n2n2/2p4p/8/1PNBPN2/P1PP1PPP/R1BQ1RK1 w kq - 0 7",0.0
"r1b1kb1r/2qpppp1/ppn5/2p3Np/6n1/BPNBP3/P1PP1PPP/R2Q1RK1 w kq - 2 9",0.0
"r1bnkb1r/3pppp1/pp1q4/2p3Np/2B2Pn1/BPN1P3/P1PP2PP/R2Q1RK1 w kq - 3 11",0.0
"r2nkb1r/1bqpppp1/pp6/2p3Np/2B1NPn1/BP2PQ2/P1PP2PP/R4RK1 w kq - 7 13",0.0
"r2nkb1r/1b1pp1p1/pp4q1/2pB3p/4PP2/1P2PQ1P/PBP3P1/R4RK1 w kq - 3 19",0.0
"r2nkb1r/1b1pp1p1/1p6/p1pB1P2/P3PR1p/1P2P2P/1BP3P1/R5K1 w kq - 0 23",0.0
"r3kb2/1n1pp1p1/1p5r/p1p2P2/P3PR1p/1PB1P2P/2P3P1/R5K1 w q - 0 25",0.0
"r3k3/1n1pp3/1p2r2b/p1p5/P3P2B/1P2PR1P/2P3P1/R5K1 w q - 3 29",0.0
"r3k3/3pp3/1p1n3b/p1p5/P3r1PB/1P2PR1P/2P5/4R1K1 w q - 2 31",0.0
"2k4r/3pp3/1p1n3b/p1p5/P1P1r1PB/1P2PR1P/4R3/6K1 w - - 3 33",0.0
"2k4r/3p4/1p1n4/p1p1p1b1/P1P1r1P1/1PB1PR1P/4R3/6K1 w - - 2 35",0.0
"6r1/2kp4/1p1n4/p1p1p1b1/P1P1r1P1/1PB1PR1P/7K/4R3 w - - 6 37",0.0
"6r1/2kp4/1p1n4/p1p1p1b1/P1P1r1P1/1PB1PR1P/7K/4R3 w - - 10 39",0.0
"2kr4/3p4/1p1n4/p1p1p1b1/P1P1r1P1/1P2PR1P/3B4/4R1K1 w - - 14 41",0.0
"2k1r3/3p4/1p1n4/p1p1p1b1/P1P1r1P1/1P2PR1P/3B4/5RK1 w - - 18 43",0.0
"2kr4/3pb3/1p1n4/p1p1p3/P1P1r1P1/1P2PR1P/3B3K/5R2 w - - 22 45",0.0
"2k5/3pb3/1p1n3r/p1p1p3/P1P1r1P1/1PB1PR1P/8/5RK1 w - - 26 47",0.0
"8/1k1p4/1p1n3r/p1p1p1b1/P1P1r1P1/1PBRPR1P/8/6K1 w - - 30 49",0.0
"8/1k1p4/1p1n3r/p1p1p1b1/P1P1r1P1/1P1RPR1P/8/4B1K1 w - - 34 51",0.0
"8/1k1p4/1p1n3r/p1p1p1b1/P1P1r1P1/1P1RPR1P/8/4B1K1 w - - 38 53",0.0
"8/1k1p4/1p1n3r/p1p1p1b1/P1P1r1P1/1PBRPR1P/8/6K1 w - - 42 55",0.0
"8/2kp4/1p1n3r/p1p1p1b1/P1P1r1P1/1PBRPR1P/8/6K1 w - - 46 57",0.0
"8/1k1pb3/1p1n3r/p1p1p3/P1P1r1P1/1P1RP2P/3B4/5RK1 w - - 50 59",0.0
"8/1k1p4/1p1n2r1/p1p1p1b1/P1P1r1P1/1PBRPR1P/8/6K1 w - - 54 61",0.0
"8/1k1p4/1p1n2r1/p1pRp1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 58 63",0.0
"8/1k1p4/1p1n2r1/p1pRp1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 62 65",0.0
"8/2kp4/1p1nr3/p1pRp1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 66 67",0.0
"8/2kpb3/1p1n2r1/p1p1p3/P1P1r1P1/1P1RPR1P/8/2B3K1 w - - 70 69",0.0
"2k5/3pb3/1p1nr3/p1pRp3/P1P1r1P1/1P2PR1P/1B6/6K1 w - - 74 71",0.0
"2k1n3/3p4/1p2r3/p1pRp1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 78 73",0.0
"2k5/3p4/1p1n4/p1p1p1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 0 75",0.0
"8/2kp4/1p1n4/p1p1p1b1/P1P1r1P1/1P2PR1P/3B4/6K1 w - - 4 77",0.0
"8/1k1p4/1p6/p1p1p1b1/P1P3P1/4PR1P/3n2K1/8 w - - 0 81",0.0
"8/1k1p4/1p6/p1p1R3/P1n3P1/4b2P/6K1/8 w - - 0 83",0.0
"8/4R3/1pk5/p1pp4/P1n3PP/4b3/6K1/8 w - - 0 85",0.0
"8/5R2/1p2k3/p1pp2P1/P1n4P/4b3/6K1/8 w - - 3 87",0.0
"8/8/1p4R1/p1p2kP1/P1np3P/4b3/6K1/8 w - - 2 89",0.0
"8/8/1p3RPb/p1p5/P1np2kP/8/6K1/8 w - - 1 91",0.0
"8/5R2/1p4Pb/p1p2n2/P2p2kP/8/8/6K1 w - - 5 93",0.0
"8/3R4/1p4Pb/p1p2n1P/P5k1/8/3p4/6K1 w - - 0 95",0.0
"8/8/1p4Pb/p1pR3P/P2n2k1/8/5K2/3q4 w - - 0 97",0.0
"r1b1kb1r/p2ppppp/2p2n2/q7/8/2N1B3/PPP1PPPP/R2QKB1R w KQkq - 2 7",1.0
"r1b1kb1r/p2p1ppp/8/3pp3/8/4B3/PPP1PPPP/R1K2B1R w kq - 0 11",1.0
"r3kb1r/pb1p1ppp/8/4p1B1/3p2P1/8/PPP1PP1P/R1K2B1R w kq - 2 13",1.0
"r4rk1/pb1p1ppp/3b4/4p1B1/P2p2P1/5P2/1PP1P2P/R1K2B1R w - - 1 15",1.0
"r4rk1/p2p2pp/P2b1p2/3bp1B1/3p2P1/5P2/1PP1P2P/R1K2B1R w - - 0 17",1.0
"1r3rk1/p2p2pp/P1bb1p2/R3p3/3p2P1/5P2/1PPBP2P/2K2B1R w - - 4 19",1.0
"1r3rk1/p2p2pp/P2b1p2/R7/3pb1PP/8/1PPBP3/2K2B1R w - - 0 21",1.0
"1rr3k1/p2p2pp/P4p2/R3b3/3pb1PP/2P4R/1P1BP3/2K2B2 w - - 1 23",1.0
"7k/p2p2pp/P4p2/R5bP/2B1b3/1K2P2R/2r5/8 w - - 2 31",1.0
"7k/p2p2pp/P4p2/R2B2bP/4P3/1K1b3R/3r4/8 w - - 1 33",1.0
"7k/p2p2pp/P4p2/3B3P/4Pb2/2K4R/3rb3/R7 w - - 5 35",1.0
"6k1/p2p2pp/P4p2/7P/4P2R/1K6/8/8 w - - 1 47",1.0
"8/p2p1kp1/P4p1p/4P2P/5R2/1K6/8/8 w - - 0 49",1.0
"8/p2p2p1/P3k2p/4Pp1P/2K2R2/8/8/8 w - - 2 51",1.0
"8/p5p1/Pk5p/4R2P/3K4/8/8/8 w - - 3 55",1.0
"8/p3R3/k6p/2K3pP/8/8/8/8 w - g6 0 57",1.0
"8/p3R1P1/k7/2K5/7p/8/8/8 w - - 0 59",1.0
"r1b1kb1r/ppqppppp/5n2/4n3/3N1B2/2N5/PPP1PPPP/R2QKB1R w KQkq - 5 7",0.0
"r1b1kb1r/1p1ppppp/5n2/p3q3/3N4/2N3P1/PPP1PPBP/R2Q1RK1 w kq - 2 11",0.0
"r1b1kb1r/1p1ppp2/5np1/p3qN1p/8/2NQ2P1/PPP1PPBP/R4RK1 w kq - 0 13",0.0
"r1b1kb1r/1p1ppp2/5np1/p3q3/P6P/2NQN1P1/1PP1P1B1/R4RK1 w kq - 1 17",0.0
"r1b1k2r/1p1pppb1/5Rp1/p3Q3/P1q4P/2N3P1/1PP1P1B1/R5K1 w kq - 3 21",0.0
"r1b1k2r/1p1p1p2/4p1p1/p7/P2b3P/2N3P1/1PP1PRB1/5RK1 w kq - 0 25",0.0
"r3k2r/1p1b4/4p1p1/p2p1p2/P6P/2NBP1P1/1PP2R2/6K1 w kq - 1 29",0.0
"3r3r/1p3k2/4p1p1/pP3p2/2B4P/4P1P1/1P3R2/6K1 w - - 1 33",0.0
"2r4r/1p3k2/4p1p1/1P3p2/p1B4P/1P2P1P1/5R1K/8 w - - 0 35",0.0
"1r6/Rp2k3/1P2p3/5p2/2B5/1P2P3/1r6/4K3 w - - 1 43",0.0
"1r6/Rp2k3/1P2p3/5p2/2B5/1P2P2r/8/2K5 w - - 5 45",0.0
"1r6/RP6/4pk2/8/1P6/3r4/1K6/8 w - - 1 51",0.0
"8/1r6/5k2/1P2p3/2K5/8/8/8 w - - 0 55",0.0
"1r6/8/2K2k2/1P6/4p3/8/8/8 w - - 0 57",0.0
"8/2K5/5k2/1r6/8/4p3/8/8 w - - 0 59",0.0
"8/3K4/5k2/8/8/8/1r2p3/8 w - - 0 61",0.0
"8/8/2K1k3/8/8/8/1r6/4q3 w - - 2 63",0.0
"r1b1kb1r/1pqppp1p/p1n3p1/8/2pPB3/4PN2/PPP2PPP/R1BQ1RK1 w kq - 0 9",1.0
"r1b1kb1r/1p1pp2p/p1q3p1/5p2/2pP4/4PN2/PPP1QPPP/R1B2RK1 w kq - 0 11",1.0
"r1b1kb1r/1p1pp2p/p5p1/5p2/2NPq3/4P3/PPP1QPPP/R1B2RK1 w kq - 1 13",1.0
"1rb1kb1r/1p1pp2p/pN4p1/8/1P1Pqp2/4P3/P1P1QPPP/R1B2RK1 w k - 0 15",1.0
"2r1kb1r/3pp2p/p1p3p1/8/1P1P4/4PP2/P1P2P1P/R1B2RK1 w k - 0 19",1.0
"2r2rk1/3pp1bp/p1p3p1/8/PP1P4/4PP2/2PB1P1P/R4RK1 w - - 1 21",1.0
"1r3rk1/3pp2p/p1p2bp1/8/PPPP1P2/4P3/3B1P1P/R4RK1 w - - 1 23",1.0
"1r3rk1/4p2p/p4bp1/P2p4/1P1P1P2/4P3/3B1P1P/R4RK1 w - - 0 25",1.0
"6k1/7p/p3pbp1/P1Pp4/3P1P2/4P3/1r1B1P1P/3R2K1 w - - 0 29",1.0
"8/5k1p/p3pbp1/P1Pp4/3P1P2/4P3/2r2P1P/1R2B1K1 w - - 4 31",1.0
